run_id,timestamp,backend,model,quant,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,e2e_latency_ms,backend_latency_ms,tokens_per_second,status
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,830.816381000659,12.981505953135297,830.816381000659,830.816381000659,77.03266505520338,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,831.5835020002851,12.993492218754454,831.5835020002851,831.5835020002851,76.96160379090597,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,820.2351699992505,12.816174531238289,820.2351699992505,820.2351699992505,78.02640308639592,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,843.8252289997763,13.184769203121505,843.8252289997763,843.8252289997763,75.8450894812212,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,841.1088640004891,13.142326000007643,841.1088640004891,841.1088640004891,76.09003155144823,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,847.7223110003251,13.24566110938008,847.7223110003251,847.7223110003251,75.49642043097701,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,826.9371629994566,12.92089317186651,826.9371629994566,826.9371629994566,77.39403048214687,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,827.1609769999486,12.924390265624197,827.1609769999486,827.1609769999486,77.37308913208557,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,845.5928009998388,13.212387515622481,845.5928009998388,845.5928009998388,75.68654785651634,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,830.7200400004149,12.980000625006483,830.7200400004149,830.7200400004149,77.04159875566266,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,841.6985219992057,13.151539406237589,841.6985219992057,841.6985219992057,76.03672612848,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,827.8144360001534,12.934600562502396,827.8144360001534,827.8144360001534,77.31201247134103,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,823.8507250007387,12.872667578136543,823.8507250007387,823.8507250007387,77.68397606246279,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,815.0342620001538,12.734910343752404,815.0342620001538,815.0342620001538,78.52430625792259,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,824.2043979998925,12.87819371874832,824.2043979998925,824.2043979998925,77.65064121874335,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,971.7647110001053,15.183823609376645,971.7647110001053,971.7647110001053,65.85956381780267,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,842.7523519994793,13.168005499991864,842.7523519994793,842.7523519994793,75.94164507302324,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,827.1216399998593,12.923775624997802,827.1216399998593,827.1216399998593,77.37676891153626,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,821.863817999656,12.841622156244625,821.863817999656,821.863817999656,77.87178191609694,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,828.4033009995255,12.943801578117586,828.4033009995255,828.4033009995255,77.25705573937188,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,818.2949229994847,12.785858171866948,818.2949229994847,818.2949229994847,78.21141033773749,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,830.4835899998579,12.97630609374778,830.4835899998579,830.4835899998579,77.063533549183,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,824.1065060001347,12.876664156252104,824.1065060001347,824.1065060001347,77.65986499806803,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,849.9351139998907,13.280236156248293,849.9351139998907,849.9351139998907,75.29986577305739,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,873.4789939999246,13.648109281248821,873.4789939999246,873.4789939999246,73.2702222258656,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,869.4383390002258,13.584974046878528,869.4383390002258,869.4383390002258,73.61074055417676,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,858.5112309992837,13.414237984363808,858.5112309992837,858.5112309992837,74.54765609240282,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,812.8546329999153,12.700853640623677,812.8546329999153,812.8546329999153,78.73486525358423,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,832.6099700007035,13.009530781260992,832.6099700007035,832.6099700007035,76.86672308277299,success
matrix_llama_gguf-q4_k_m_128in_64out_c1,2026-06-17T16:20:19.916677+00:00,llama,qwen2.5-7b-instruct-Q4_K_M,gguf-q4_k_m,128,64,1,846.4261459994304,13.2254085312411,846.4261459994304,846.4261459994304,75.61203101120067,success
